item_id,title,hybrid_score,collab_score,content_score,mode
181,return of the jedi,0.6585004836641701,0.8844757466059648,0.31953758925147807,hybrid
172,empire strikes back the,0.5780375861126779,0.7498192415368906,0.3203651029763588,hybrid
174,raiders of the lost ark,0.5497524796276272,0.7648851255036893,0.22705351081353417,hybrid
121,independence day id4,0.48673629145609754,0.6928373036216838,0.17758477320771798,hybrid
1,toy story,0.4822036635290983,0.7345720560109757,0.1036510748062821,hybrid
210,indiana jones and the last crusade,0.469636494044156,0.6893433161183717,0.14007626093283246,hybrid
204,back to the future,0.4548983409410459,0.672700486087936,0.12819512322071083,hybrid
79,fugitive the,0.4516486401215836,0.6575451250258025,0.14280391276525525,hybrid
257,men in black,0.4505080940611744,0.6340345979217809,0.17521833827026473,hybrid
98,silence of the lambs the,0.450319918914022,0.6764284324255844,0.11115714864667856,hybrid
