item_id,title,hybrid_score,collab_score,content_score,mode
50,star wars,0.4822036635290983,0.7345720560109757,0.1036510748062821,hybrid
95,aladdin,0.4715522884186285,0.5819735845468751,0.3059203442262587,hybrid
181,return of the jedi,0.46570554589382096,0.6999249712920779,0.11437640779643554,hybrid
121,independence day id4,0.4480812177720114,0.6897856040758548,0.0855246383162463,hybrid
117,rock the,0.4391894315792716,0.6645547887084197,0.1011413958855494,hybrid
588,beauty and the beast,0.4199186283668249,0.5541880592410334,0.21851448205551222,hybrid
151,willy wonka and the chocolate factory,0.4117434050956744,0.6381576334869846,0.07212206250870917,hybrid
222,star trek first contact,0.40746945429058806,0.6367273145962258,0.06358266383213153,hybrid
405,mission impossible,0.40213112897106357,0.6413217603411483,0.043345181915936566,hybrid
174,raiders of the lost ark,0.4007006149306488,0.6223824949957655,0.06817779483297387,hybrid
